#0)model 1)rv 2)Rgc 3)Z 4)N(x10^5) 5)t_merge(Myr) 6)id1 7)id2 8)m1 9)m2 10)spin1 11)spin2 12)v_kick 13)v_esc 14)channel 15)id_merger 16)m_merger 17)spin_merger 18)a_final (AU) 19)e_final
# merger channels: 1)ejected 2)in-cluster binary 3) in cluster 3-body 4) in cluster 4 body 5) in cluster 2-body GW capture
149 2.0 20.0 0.002 1.0 8.18516645408 152617.0 10302356.0 23.7067 31.7668 0.0 0.0 80.6547 181.852 2 152617.0 52.8912 0.674865 0.00781935 0.0109999
149 2.0 20.0 0.002 1.0 8.18516645408 4563745.0 10336614.0 23.2274 31.041 0.0 0.0 79.9775 156.865 2 4563745.0 51.7406 0.675075 0.0100169 0.0167351
149 2.0 20.0 0.002 1.0 8.55653211083 3426001.0 10476530.0 20.2175 30.5027 0.0 0.0 108.661 147.368 2 3426001.0 48.4406 0.663791 0.00876666 0.0147857
149 2.0 20.0 0.002 1.0 9.59305787192 8427988.0 10351902.0 16.8563 25.964 0.0 0.0 113.135 99.5706 2 8427988.0 40.9097 0.661501 0.00537481 0.00793266
149 2.0 20.0 0.002 1.0 10.5734940356 9110008.0 10499427.0 13.7679 21.4767 0.0 0.0 115.797 140.766 2 9110008.0 33.6793 0.660054 0.00749807 0.0161806
149 2.0 20.0 0.002 1.0 11.9766863874 8735766.0 10060170.0 11.764 19.0834 0.0 0.0 123.712 165.23 2 8735766.0 29.4979 0.655334 0.00831836 0.0208129
149 2.0 20.0 0.002 1.0 12.1301613859 8039784.0 10282600.0 9.91794 17.316 0.0 0.0 137.14 132.528 2 8039784.0 26.0796 0.645529 0.00622148 0.0163403
149 2.0 20.0 0.002 1.0 12.7577530353 4010421.0 10355639.0 9.74189 19.1411 0.0 0.0 154.552 91.3972 2 4010421.0 27.7293 0.627358 0.00491743 0.0101717
149 2.0 20.0 0.002 1.0 13.806118238 7929801.0 10357601.0 10.0195 16.9993 0.0 0.0 132.135 140.847 2 7929801.0 25.8588 0.649494 0.00677082 0.0163457
149 2.0 20.0 0.002 1.0 14.1204458587 6539925.0 10072015.0 16.3164 21.1156 0.0 0.0 71.7503 154.358 2 6539925.0 35.6755 0.677439 0.006014 0.00741574
149 2.0 20.0 0.002 1.0 15.9544782378 5036834.0 16027942.0 19.0267 28.6326 0.0 0.0 108.098 152.006 2 5036834.0 45.5154 0.664067 0.00605575 0.00566277
149 2.0 20.0 0.002 1.0 19.2855783607 7543387.0 10091201.0 6.68771 13.2765 0.0 0.0 155.82 154.291 2 7543387.0 19.1713 0.625638 0.00468033 0.011477
149 2.0 20.0 0.002 1.0 29.2370370173 9738353.0 10497219.0 16.8478 24.2602 0.0 0.0 98.1106 72.2417 2 9738353.0 39.2322 0.668565 0.007868 0.00676221
149 2.0 20.0 0.002 1.0 77.2748610781 4088163.0 10222876.0 11.5035 10.814 0.0 0.0 17.7536 134.682 2 4088163.0 21.242 0.685938 0.00523711 0.00890657
149 2.0 20.0 0.002 1.0 82.5616423389 20900.0 10471424.0 12.211 9.9711 0.0 0.0 57.1221 157.259 2 20900.0 21.1299 0.680871 0.00493291 0.00926412
149 2.0 20.0 0.002 1.0 91.9150218413 7592040.0 10329935.0 12.1833 10.0267 0.0 0.0 55.0013 152.481 2 7592040.0 21.1551 0.681293 0.00447681 0.00767677
149 2.0 20.0 0.002 1.0 116.988776382 2052333.0 10091464.0 12.6315 12.2791 0.0 0.0 8.14123 145.706 2 2052333.0 23.7086 0.686351 0.00430665 0.00305274
149 2.0 20.0 0.002 1.0 137.710843859 1747179.0 10199252.0 13.4717 13.4563 0.0 0.0 0.328804 139.017 2 1747179.0 25.6282 0.68646 0.00418102 0.00255885
149 2.0 20.0 0.002 1.0 142.953933266 10327796.0 12969621.0 30.1206 28.8442 0.0 0.0 12.4499 160.153 2 10327796.0 56.1208 0.686204 0.0398267 0.961251
149 2.0 20.0 0.002 1.0 147.220299254 10066515.0 11067219.0 32.5873 40.9693 0.0 0.0 64.1532 160.288 2 10066515.0 70.0842 0.679338 0.00379022 0.107351
149 2.0 20.0 0.002 1.0 156.95447092 10497300.0 11130952.0 32.635 41.0629 0.0 0.0 64.3701 164.271 2 10497300.0 70.2194 0.679288 0.209485 0.993775
149 2.0 20.0 0.002 1.0 158.083545738 446201.0 10189029.0 14.0493 13.0612 0.0 0.0 20.9325 159.767 2 446201.0 25.8048 0.685733 0.00270731 0.000830897
149 2.0 20.0 0.002 1.0 161.482772779 10625955.0 11269285.0 40.1052 25.377 0.0 0.0 118.489 156.739 2 10625955.0 62.5882 0.658522 0.00570953 0.391618
149 2.0 20.0 0.002 1.0 163.310841526 8217147.0 12338573.0 41.7783 41.4182 0.0 0.0 2.49133 164.215 2 8217147.0 79.1807 0.68645 0.0100227 0.727208
149 2.0 20.0 0.002 1.0 164.524981205 5160338.0 10149525.0 33.1019 32.9604 0.0 0.0 1.23258 143.968 2 5160338.0 62.8734 0.686458 0.00455025 0.131507
149 2.0 20.0 0.002 1.0 164.684548319 2619627.0 11348492.0 41.9098 42.0325 0.0 0.0 0.841598 164.793 2 2619627.0 79.8905 0.686459 0.00885838 0.588687
149 2.0 20.0 0.002 1.0 165.411581757 822736.0 10528230.0 41.5247 28.104 0.0 0.0 104.016 152.678 2 822736.0 66.4772 0.665994 0.00274929 0.134368
149 2.0 20.0 0.002 1.0 166.404950834 10415909.0 11982629.0 32.6811 40.5 0.0 0.0 60.3129 162.657 2 10415909.0 69.7171 0.680201 0.00300019 0.340831
