#1:tcount #2:t #3:m #4:r #5:vr #6:vt #7:r_peri #8:r_apo #9:Rtidal #10:phi_rtidal #11:phi_zero #12:E #13:J #14:id #15:binflag #16:m0[MSUN] #17:m1[MSUN] #18:id0 #19:id1 #20:a #21:e #22:startype #23:bin_startype0 #24:bin_startype1 #25:rad0 #26:rad1 #27:tb #28:lum0 #29:lum1 #30:massc0 #31:massc1 #32:radc0 #33:radc1 #34:menv0 #35:menv1 #36:renv0 #37:renv1 #38:tms0 #39:tms1 #40:dmdt0 #41:dmdt1 #42:radrol0 #43:radrol1 #44:ospin0 #45:ospin1 #46:B0 #47:B1 #48:formation0 #49:formation1 #50:bacc0 #51:bacc1 #52:tacc0 $53:tacc1 #54:mass0_0 #55:mass0_1 #56:epoch0 #57:epoch1 #58:bhspin #59:bhspin1 #60:bhspin2 #61:ospin #62:B #63:formation
#15binflag=1:binary,23/24bin_starttype0/1:na if not binary, 14 if black holes, 16-17 mass
#rv=2 case
2819 0.009748123 90.685648 0.025927132 0.35455443 1.7260807 0.025927132 0.025927132 216.32458 -0.0034920278 -0.99941784 0.56772933 0.044752323 0 1 13.671702 41.008017 2771722 12129255 0.029307199 0.46482205 na 14 14 5.7968e-05 0.000173874 0.247821 1e-10 1e-10 13.6717 41.008 5.7968e-05 0.000173874 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 1.65887e+11 2e+08 0 0 0 0 0 0 0 0 15.0708 45.5645 5.35867 3.73434 na 0 0 na na na
9785 0.011473631 60.271641 0.010953289 -0.34778942 1.8180854 0.010953289 0.010953289 215.53897 -0.0034667105 -1.1034577 0.65128599 0.019914015 0 1 16.405993 19.93533 845081 10075659 0.047825757 0.58404375 na 14 14 6.95614e-05 8.45258e-05 0.633698 1e-10 1e-10 16.406 19.9353 6.95614e-05 8.45258e-05 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 1.36996e+11 2e+08 0 0 0 0 0 0 0 0 18.1298 22.1504 4.86531 7.36191 na 0 0 na na na
14518 0.012024511 119.92952 0.0086256532 0.022683852 1.8965679 0.0086256532 0.0086256532 215.30938 -0.0034593291 -1.1059557 0.7203299 0.016359137 0 1 32.40956 39.903011 10278533 10674564 0.14393018 0.63514428 na 14 14 0.000137417 0.000169189 2.34537 1e-10 1e-10 32.4096 39.903 0.000137417 0.000169189 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 36.0106 44.3367 5.80536 3.7703 na 0 0 na na na
19347 0.012605565 126.42864 0.0096192762 -0.33884184 2.0802457 0.0096192762 0.0096192762 215.08408 -0.0034520929 -1.0933368 1.1544142 0.020010458 0 1 40.735267 35.496005 10778857 10829006 0.079822773 0.8170244 na 14 14 0.000172718 0.000150503 0.943439 1e-10 1e-10 40.7353 35.496 0.000172718 0.000150503 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 45.2614 39.44 3.80054 3.95326 na 0 0 na na na
30604 0.013661349 113.01965 0.0034939356 1.5481039 1.0740402 0.0034939356 0.0034939356 214.6997 -0.0034397655 -1.1045733 0.67242813 0.0037526274 0 1 33.06378 35.082427 940847 14024304 0.021692115 0.91371107 na 14 14 0.00014019 0.000148749 0.141359 1e-10 1e-10 33.0638 35.0824 0.00014019 0.000148749 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 6.84945e+10 2e+08 0 0 0 0 0 0 0 0 36.4382 38.9805 3.64813 3.95901 na 0 0 na na na
41296 0.014736042 137.42691 0.0065155797 0.093776687 1.8886636 0.0065155797 0.0065155797 214.33949 -0.0034282331 -1.0772429 0.72327316 0.012305738 0 1 41.262153 41.600626 10608308 15247658 0.10078208 0.34345009 na 14 14 0.000174952 0.000176387 1.28376 1e-10 1e-10 41.2622 41.6006 0.000174952 0.000176387 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 45.8468 46.2229 3.82555 3.73993 na 0 0 na na na
42575 0.014887972 124.50518 0.0018730612 -0.88745931 1.201797 0.0018730612 0.0018730612 214.28896 -0.0034266168 -1.1165166 0.0070496918 0.0022510394 0 1 33.879057 41.192449 10650206 14570787 0.047821739 0.50942022 na 14 14 0.000143647 0.000174656 0.44085 1e-10 1e-10 33.8791 41.1924 0.000143647 0.000174656 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 37.6434 45.7694 4.00338 3.69085 na 0 0 na na na
66265 0.016733127 184.27955 0.0048677856 1.882339 1.2580008 0.0048677856 0.0048677856 213.73374 -0.0034088833 -1.1188487 1.4523736 0.0061236784 0 1 41.395927 69.717073 7030214 10415909 0.070334159 0.85492682 na 14 14 0.000175519 0.0002956 0.646334 1e-10 1e-10 41.3959 69.7171 0.000175519 0.0002956 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 45.9955 36.3124 3.83154 5.43767 na 0 0.680201 na na na
75925 0.017489192 137.77223 0.0047957709 0.73582461 1.4592133 0.0047957709 0.0047957709 213.52031 -0.0034020785 -1.1672719 0.20951663 0.0069980526 0 1 41.842904 41.22809 3864094 11837155 0.074952671 0.48161103 na 14 14 0.000177414 0.000174807 0.82233 1e-10 1e-10 41.8429 41.2281 0.000177414 0.000174807 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 46.4921 45.809 3.73233 3.71594 na 0 0 na na na
79295 0.017728826 67.790947 0.0046906075 -2.2055409 2.7956052 0.0046906075 0.0046906075 213.45666 -0.0034000507 -1.1694821 5.1979219 0.013113087 0 1 19.861758 21.013398 5360867 10224933 0.33142594 0.9510215 na 14 14 8.42139e-05 8.90968e-05 10.9003 1e-10 1e-10 19.8618 21.0134 8.42139e-05 8.90968e-05 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 1.13317e+11 2e+08 0 0 0 0 0 0 0 0 21.9503 23.3482 4.46952 7.20743 na 0 0 na na na
